StartTime: 2025-07-09 15:38:06
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
2,40;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,41;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,43;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,45;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,46;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,48;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,50;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,51;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,53;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,55;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,56;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,58;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,60;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,61;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,63;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,65;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,66;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,68;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,70;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,71;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,73;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,75;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,76;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,78;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,80;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,81;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,83;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,85;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,86;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,88;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,90;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,91;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,93;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,95;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,96;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,98;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,00;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,01;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,03;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,05;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,06;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,08;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,09;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,11;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,13;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,14;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,16;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,18;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,19;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,21;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,23;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,24;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,26;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,28;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,29;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,31;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
3,33;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,34;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,36;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,38;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,39;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,41;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,43;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,44;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,46;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,48;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,49;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,51;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,53;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,54;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,56;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,58;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,59;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,61;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,63;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,64;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,66;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,68;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,69;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,71;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,73;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,74;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,76;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,78;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,79;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,81;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,83;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,84;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,86;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,88;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,89;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,91;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,93;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,94;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,96;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,98;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
3,99;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,01;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,03;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,04;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,06;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,08;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,09;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,11;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,13;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,14;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,16;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
4,18;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,19;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,21;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,23;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,24;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,26;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,28;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,29;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,31;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,32;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,34;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,36;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,37;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
4,39;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
